Manufacturer,Model Number,Safety Certification,Pmax,PTC,Technology,A_c,N_s,N_p,BIPV,Isc,Voc,Ipmax,Vpmax,NOCT,Tc_pmax,Tc_isc,Tc_voc,Short Side,Long Side
Applied Materials,Full Size Single Junction Version 1.0,UL 1703,414,384.8,Thin Film,5.72,216,1,N,2.9,194.2,2.59,159.8,44.8,-0.3,0.08,-0.33,2.2,2.6
Applied Materials,Full Size Tandem Junction,UL 1703,458,420.2,Thin Film,5.72,216,1,N,2.6,280,2.16,216,44.1,-0.368,0.104,-0.401,2.2,2.6
T-Solar Global,TS370,UL 1703,370,343.6,Thin Film,5.71,216,12,N,3.24,185,2.71,141,44.8,-0.3,0.08,-0.33,2.198,2.598
T-Solar Global,TS390,UL 1703,390,362.3,Thin Film,5.71,216,12,N,3.24,190,2.74,148,44.8,-0.3,0.08,-0.33,2.198,2.598
T-Solar Global,TS410,UL 1703,410,381.1,Thin Film,5.71,216,12,N,3.28,191,2.78,149,44.8,-0.3,0.08,-0.33,2.198,2.598
Shanghai ST Solar,STM325-130,UL 1703,325,289.9,Mono-c-Si,2.269,130,1,N,5.56,81.25,5,65,47.1,-0.46,0.05,-0.34,1.323,1.715
Shanghai ST Solar,STM330-130,UL 1703,330,294.5,Mono-c-Si,2.269,130,1,N,5.64,81.25,5.08,65,47.1,-0.46,0.05,-0.34,1.323,1.715
Shanghai ST Solar,STM335-130,UL 1703,335,299.1,Mono-c-Si,2.269,130,1,N,5.73,81.25,5.15,65,47.1,-0.46,0.05,-0.34,1.323,1.715
Shanghai ST Solar,STM340-130,UL 1703,340,303.7,Mono-c-Si,2.269,130,1,N,5.81,81.25,5.23,65,47.1,-0.46,0.05,-0.34,1.323,1.715
Shanghai ST Solar,STM345-130,UL 1703,345,308.3,Mono-c-Si,2.269,130,1,N,5.9,81.25,5.31,65,47.1,-0.46,0.05,-0.34,1.323,1.715
Shanghai ST Solar,STM350-130,UL 1703,350,312.9,Mono-c-Si,2.269,130,1,N,5.98,81.25,5.38,65,47.1,-0.46,0.05,-0.34,1.323,1.715
Sunpreme Inc.,SNPM-GxB-490,UL 1703,490,460.4,Thin Film,2.591,96,1,N,9.2,71.8,8.7,56.3,45.5,-0.3,0.01,-0.26,1.308,1.981
Sunpreme Inc.,SNPM-GxB-500,UL 1703,500,470,Thin Film,2.591,96,1,N,9.2,72.9,8.7,57.4,45.5,-0.3,0.01,-0.26,1.308,1.981
Sunpreme Inc.,SNPM-GxB-510,UL 1703,510,479.6,Thin Film,2.591,96,1,N,9.4,74.7,8.9,57.3,45.5,-0.3,0.01,-0.26,1.308,1.981
Topsun,TS-S356TA1,UL 1703,356,311.7,Mono-c-Si,2.564,96,1,N,8.19,57.24,7.72,46.12,48.4,-0.49758,0.01008,-0.37345,1.308,1.96
Topsun,TS-S357TA1,UL 1703,357,312.6,Mono-c-Si,2.564,96,1,N,8.2,57.33,7.73,46.19,48.4,-0.49758,0.01008,-0.37345,1.308,1.96
Topsun,TS-S358TA1,UL 1703,358,313.5,Mono-c-Si,2.564,96,1,N,8.21,57.43,7.74,46.26,48.4,-0.49758,0.01008,-0.37345,1.308,1.96
Topsun,TS-S359TA1,UL 1703,359,314.4,Mono-c-Si,2.564,96,1,N,8.22,57.51,7.76,46.27,48.4,-0.49758,0.01008,-0.37345,1.308,1.96
